start	end	text
0	1360	안녕하세요 랭글입니다.
1900	6880	오늘의 강의 내용은 에임의 기초화 개념을 전체적으로 훑어보는 개론이라고 보시면 될 것 같고요.
7160	10880	학을 붙이기엔 좀 민망하지만 에임학 개론 정도로 명칭을 붙여볼게요.
11300	15320	응용하기에 앞서서 알고 있어야만 하는 기본이라 칭할 수 있는 것들을 알려드릴 겁니다.
15660	18640	특정적인 에임 스타일에만 적용되는 것이 아니다라는 이야기고
18640	24260	에임의 기초화 원리를 탄탄하게 이해해두지 않으면 어디서부터 문제가 발생하는지 파악하기 어렵기 때문에
24260	26940	오늘 내용이 그만큼 중요하다고 보시면 될 것 같고요.
26940	31940	강의를 시작하기에 앞서 저를 처음 접하시는 분들도 계실 거기 때문에 간략하게 제 소개를 드리자면
32480	47840	등등 이런 다양한 게임의 프로팀 선수들 대상으로 에임 코칭을 했고요.
48280	53420	프로 뿐만 아니라 수백 명의 랭커와 프로 지망생들 그리고 일반인을 포함하면 1500명 이상을 코칭했고
53420	56560	그 중에서는 랭킹 1등을 비롯해서 수백 명의 랭커를 배출했습니다.
56560	57700	이제 강의 시작합니다.
58040	59920	에임은 모든 걸 한 번에 설명할 수가 없어요.
60340	67420	그래서 하나씩 설명해 나갈 텐데 영상을 다 보시면 궁금증들이 퍼즐 맞추듯이 해소될 테니까 차근차근 따라와 보세요.
67960	71300	우선 프로게이머들의 손캠 영상을 보면서 얘기를 나눠볼 건데요.
71420	73280	저감도부터 고감도 순서로 볼 거예요.
73900	75880	게임 화면이 아니라 손캠 위주로만 볼 겁니다.
76420	78920	첫 번째로 볼 영상은 카운터 스트라이크의 니코 선수인데요.
79440	82200	정말 아름다운 에임을 가지고 있는 세계 최고의 선수 중 한 명입니다.
82340	86280	이 영상을 누군가에게 보여줄 땐 항상 어떤 식으로 에임하는 것 같냐?
86560	87360	라는 질문을 꼭 해요.
87980	89240	그럼 주로 나오는 대답이
89240	92660	큰 움직임은 팔로 하고 세밀한 에임은 손목으로 하는 것 같다.
92780	94260	혹은 팔꿈치를 축으로 에임한다.
94720	95480	편해 보인다.
95660	98160	정도인데 같이 보면서 설명드릴게요.
100280	102520	손목이든 팔이든 어디 고정되어 있지 않고요.
103040	104740	손부터 팔까지 하나의 동작이 나와요.
104940	106060	그래서 되게 자연스러워 보이죠?
107480	112020	우선 손목, 팔, 팔, 손목 이런 식으로 단계별로 움직이지 않아요.
112020	115440	손부터 팔까지 자연스럽게 하나로 이어진 동작이 나옵니다.
115960	116540	그래서 딱 봤을 때
116560	120500	어 되게 자연스럽다, 편하게 움직인다 라는 인상을 받을 수 있고요.
121080	122780	팔꿈치를 축으로 움직이는 것도 아니고
122780	124760	손목이나 팔이 고정되어 있지도 않아요.
125160	128240	이번엔 발로안트 프로게이머 텐즈 선수가 에임랩을 하는 영상인데요.
129060	132200	보시면 손목과 팔 부분이 고정되어 있지 않고 같이 움직이죠.
132980	135480	손목만 쓰거나 팔만 쓰거나 하는 게 아니라
135480	137500	손부터 팔까지 한 동작으로 나올 거예요.
139260	141660	손목을 억지로 돌리는 게 아니라 딱 쓰일 만큼만 쓰이죠.
